Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,3.5,62000,0
Camry,Riyadh,Toyota,Automatic,Other,Standard,2012,2.5,20455,0
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,6.2,137000,0
Sierra,Najran,GMC,Automatic,Saudi,Full,2014,5.3,200005,0
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Full,2015,2.7,100000,0
Marquis,Dammam,Ford,Automatic,Gulf Arabic,Full,2011,4.6,360,0
Prado,Qassim,Toyota,Automatic,Saudi,Full,2018,1.5,130,0
C,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2018,2.0,95000,0
Elantra,Jeddah,Hyundai,Automatic,Saudi,Full,2017,2.0,77000,0
Corolla,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2015,1.6,370,0
H1,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.5,140,0
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2016,5.3,196000,0
Rio,Hail,Kia,Automatic,Other,Standard,2011,1.6,167000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,146000,0
Carnival,Al-Ahsa,Kia,Automatic,Gulf Arabic,Semi Full,2016,2.5,125000,0
Previa,Riyadh,Toyota,Automatic,Other,Standard,2007,2.4,458,0
Carnival,Dammam,Kia,Automatic,Saudi,Full,2017,3.3,82217,0
Land Cruiser,Arar,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,13000,0
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,1999,2.8,500000,0
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2017,1.5,149000,0
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2010,4.6,360000,0
Edge,Riyadh,Ford,Automatic,Saudi,Full,2014,3.5,204,0
LS,Qassim,Lexus,Automatic,Saudi,Full,2008,8.0,300,0
Cherokee,Khobar,Jeep,Automatic,Saudi,Semi Full,2019,2.4,22000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.6,164,0
Tahoe,Dammam,Chevrolet,Automatic,Other,Standard,2013,5.3,350,0
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,73700,0
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,2015,5.3,189000,0
Pathfinder,Arar,Nissan,Automatic,Saudi,Semi Full,2016,3.5,100,0
Jetta,Jeddah,Volkswagen,Automatic,Saudi,Full,2015,2.0,295000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2021,5.3,2500,0
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2016,2.5,124000,0
Datsun,Abha,Nissan,Manual,Saudi,Full,2007,2.4,214,0
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,157,0
Thunderbird,Riyadh,Ford,Automatic,Other,Full,1965,8.0,25000,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2012,4.0,370000,0
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,125000,0
Land Cruiser,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,4.6,192,0
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2006,4.6,400,0
V7,Riyadh,Changan,Automatic,Saudi,Standard,2018,1.6,169000,0
LS,Tabouk,Lexus,Automatic,Saudi,Full,2015,4.6,110000,0
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2017,1.5,108098,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Other,Standard,2016,4.0,280000,0
Copper,Dammam,MINI,Manual,Saudi,Semi Full,2015,2.0,237000,0
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,222000,0
Camry,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,2.4,186,0
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2018,4.0,223000,0
Aurion,Riyadh,Toyota,Automatic,Saudi,Semi Full,2013,3.5,200,0
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2012,2.7,432345,0
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2003,2.4,400000,0
Fluence,Dammam,Renault,Automatic,Saudi,Standard,2016,1.6,66000,0
C,Riyadh,Mercedes,Automatic,Other,Full,2017,7.0,40000,0
Sunny,Al-Medina,Nissan,Manual,Saudi,Standard,2006,1.4,256000,0
Land Cruiser,Tabouk,Toyota,Automatic,Saudi,Full,2014,4.6,200,0
Marquis,Jeddah,Ford,Automatic,Saudi,Semi Full,2007,4.6,300000,0
Navara,Riyadh,Nissan,Manual,Saudi,Standard,2015,2.5,185000,0
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,128332,0
Tahoe,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,300000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,91000,0
Grand Marquis,Taef,Mercury,Automatic,Other,Full,2008,4.6,350,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2011,4.6,309000,0
Victoria,Arar,Ford,Automatic,Saudi,Full,2002,4.6,300000,0
Hilux,Qassim,Toyota,Manual,Saudi,Standard,2016,2.7,37000,0
Hilux,Aseer,Toyota,Manual,Saudi,Full,2016,1.1,42000,0
S,Al-Medina,Mercedes,Automatic,Other,Full,2006,3.5,300000,0
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2020,1.4,13000,0
Edge,Makkah,Ford,Automatic,Other,Semi Full,2008,3.5,415000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,5.4,274000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.4,183000,0
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2016,2.5,263000,0
Corolla,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2019,1.6,38000,0
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Full,2016,4.6,28000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2016,2.4,79000,0
Silverado,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,5.3,98000,0
Acadia,Dammam,GMC,Automatic,Saudi,Full,2009,3.6,272000,0
EC7,Tabouk,Geely,Manual,Saudi,Standard,2014,1.8,170000,0
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2010,2.7,83000,0
Edge,Riyadh,Ford,Automatic,Saudi,Full,2016,3.5,97000,0
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2019,4.0,90000,0
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2014,2.5,295,0
Rush,Al-Medina,Toyota,Automatic,Gulf Arabic,Full,2020,1.5,4050,0
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2016,3.6,172000,0
SEL,Al-Ahsa,Mercedes,Automatic,Other,Full,1991,3.0,213,0
Avalon,Hail,Toyota,Automatic,Saudi,Semi Full,2013,6.0,255,0
Land Cruiser,Hail,Toyota,Manual,Saudi,Full,2008,4.6,200000,0
Hilux,Riyadh,Toyota,Manual,Other,Semi Full,2009,2.7,230,0
Capture,Riyadh,Renault,Automatic,Gulf Arabic,Semi Full,2016,1.6,85000,0
Navara,Abha,Nissan,Manual,Saudi,Standard,2013,2.5,300000,0
Carnival,Dammam,Kia,Automatic,Saudi,Standard,2016,2.0,144000,0
Copper,Dammam,MINI,Manual,Saudi,Semi Full,2015,2.0,235000,0
Caprice,Hafar Al-Batin,Chevrolet,Automatic,Saudi,Semi Full,2007,6.0,14000,0
Yukon,Riyadh,GMC,Automatic,Unknown,Full,2007,5.3,300000,0
Sierra,Tabouk,GMC,Manual,Saudi,Full,2002,1.8,200000,0
Camry,Aseer,Toyota,Automatic,Saudi,Standard,2017,2.5,149000,0
Hilux,Hafar Al-Batin,Toyota,Manual,Saudi,Full,2015,2.7,196000,0
Ciocca,Jeddah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,300000,0
Taurus,Riyadh,Ford,Automatic,Unknown,Standard,2014,3.5,93000,0
Furniture,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,24083,0
Kaptiva,Jeddah,Chevrolet,Automatic,Gulf Arabic,Standard,2008,2.0,300000,0
LS,Abha,Lexus,Automatic,Other,Full,1998,4.6,400,0
Patrol,Qassim,Nissan,Automatic,Saudi,Semi Full,2013,5.6,560000,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,359008,0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2015,1.6,170000,0
Cadenza,Tabouk,Kia,Automatic,Other,Standard,2015,3.3,299,0
Hilux,Wadi Dawasir,Toyota,Manual,Saudi,Full,2020,2.4,75000,0
Land Cruiser,Arar,Toyota,Automatic,Saudi,Full,2017,5.7,106,0
Pathfinder,Jeddah,Nissan,Automatic,Saudi,Semi Full,2014,3.5,285500,0
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315000,0
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2019,1.5,50000,0
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Full,2012,4.0,376528,0
Senta fe,Aseer,Hyundai,Automatic,Other,Semi Full,2014,6.1,300000,0
