Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Full,2016,4.0,15000,0
Camry,Makkah,Toyota,Automatic,Saudi,Full,2019,2.5,8000,0
Rio,Riyadh,Kia,Automatic,Saudi,Semi Full,2013,1.4,235000,0
Tahoe,Hafar Al-Batin,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,300000,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2004,4.7,390,0
G,Qassim,Mercedes,Automatic,Saudi,Full,2016,4.0,150000,0
CRV,Riyadh,Honda,Automatic,Saudi,Semi Full,2004,2.4,331809,0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,88000,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.5,600,0
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,12000,0
Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2013,2.7,320,0
Camry,Najran,Toyota,Manual,Saudi,Semi Full,2004,7.8,507,0
Corolla,Qurayyat,Toyota,Automatic,Saudi,Semi Full,2015,1.6,144000,0
Optima,Riyadh,Kia,Automatic,Saudi,Standard,2013,1.6,200,0
Taurus,Jeddah,Ford,Automatic,Other,Full,2013,3.7,267000,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2016,5.7,150000,0
Furniture,Riyadh,Toyota,Automatic,Other,Semi Full,2012,2.7,225000,0
Land Cruiser,Al-Jouf,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,25000,0
MKX,Dammam,Lincoln,Automatic,Saudi,Full,2007,3.7,340000,0
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2012,2.7,186000,0
Yaris,Al-Ahsa,Toyota,Automatic,Saudi,Semi Full,2017,1.3,41800,0
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2016,5.7,260,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2020,5.7,20000,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2015,1.4,322000,0
Hilux,Wadi Dawasir,Toyota,Manual,Saudi,Full,2017,2.7,186,0
Sierra,Riyadh,GMC,Manual,Saudi,Standard,1979,5.3,100,0
Sonata,Qassim,Hyundai,Automatic,Other,Full,2018,1.7,85000,0
ES,Jeddah,Lexus,Automatic,Saudi,Full,2012,3.5,48000,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2015,2.0,300000,0
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2015,5.6,88000,0
Sonata,Tabouk,Hyundai,Automatic,Other,Semi Full,2018,2.4,138000,0
Prado,Qassim,Toyota,Automatic,Gulf Arabic,Full,2014,4.0,165000,0
Carnival,Dammam,Kia,Automatic,Saudi,Semi Full,2016,3.3,161000,0
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2006,3.5,200000,0
RX,Riyadh,Lexus,Automatic,Saudi,Full,2016,3.5,90000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2012,2.4,150,0
Land Cruiser Pickup,Jeddah,Toyota,Manual,Gulf Arabic,Full,2020,9.0,30000,0
E,Makkah,Mercedes,Automatic,Saudi,Full,2002,2.0,375,0
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2009,3.6,382000,0
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,3.6,22000,0
Rio,Al-Medina,Kia,Automatic,Saudi,Standard,2016,1.6,14000,0
Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,87000,0
Suburban,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,171000,0
Maxima,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2012,3.5,304000,0
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.5,40000,0
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2015,2.5,191000,0
Accent,Aseer,Hyundai,Automatic,Saudi,Full,2010,1.4,224,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2021,4.6,2600,0
Soul,Taef,Kia,Automatic,Gulf Arabic,Semi Full,2017,1.5,17000,0
Camry,Jeddah,Toyota,Manual,Saudi,Standard,1998,2.5,420000,0
Hilux,Taef,Toyota,Manual,Saudi,Semi Full,2012,2.4,800000,0
Marquis,Najran,Ford,Automatic,Other,Full,2001,4.6,200000,0
L200,Al-Ahsa,Mitsubishi,Manual,Saudi,Full,2020,2.5,9000,0
Altima,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,2.5,69800,0
Land Cruiser Pickup,Al-Ahsa,Toyota,Manual,Gulf Arabic,Full,2016,4.0,282000,0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.6,300000,0
Camry,Makkah,Toyota,Manual,Saudi,Semi Full,2003,2.4,350,0
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2015,2.5,206000,0
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2011,5.7,304000,0
Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,1994,1.8,285,0
Range Rover,Jeddah,Land Rover,Automatic,Saudi,Standard,2012,8.0,149,0
Land Cruiser Pickup,Tabouk,Toyota,Manual,Gulf Arabic,Full,2014,4.0,300000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2017,2.7,264000,0
Passat,Al-Medina,Volkswagen,Automatic,Other,Semi Full,2012,2.5,300,0
Accord,Jeddah,Honda,Automatic,Saudi,Full,2014,1.4,39720,0
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2017,4.0,136000,0
LS,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2013,4.6,65000,0
Land Cruiser,Dammam,Toyota,Manual,Saudi,Standard,2011,4.0,220000,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2015,2.0,25700,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2020,5.7,22000,0
LS,Taef,Lexus,Automatic,Other,Full,2005,4.6,140000,0
Pathfinder,Qassim,Nissan,Automatic,Unknown,Full,2002,3.5,458312,0
Hilux,Riyadh,Toyota,Automatic,Saudi,Standard,2021,1.0,4000,0
Land Cruiser Pickup,Tabouk,Nissan,Automatic,Gulf Arabic,Full,2013,4.8,300000,0
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2014,5.7,153000,0
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2017,5.0,10000,0
Tucson,Jazan,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,93000,0
Elantra,Aseer,Hyundai,Automatic,Saudi,Standard,2016,1.6,265,0
CX9,Makkah,Mazda,Automatic,Saudi,Full,2014,2.5,1700000,0
Aveo,Riyadh,Chevrolet,Manual,Saudi,Semi Full,2004,1.6,220000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.5,53000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Full,1993,2.5,600000,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2019,4.6,70000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2010,5.3,450,0
LX,Aseer,Lexus,Automatic,Other,Full,2013,8.0,62000,0
Camry,Sakaka,Toyota,Automatic,Saudi,Semi Full,2015,2.5,215000,0
Accent,Aseer,Hyundai,Automatic,Saudi,Standard,2019,1.4,35000,0
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2008,3.6,300000,0
Rio,Jeddah,Kia,Automatic,Saudi,Semi Full,2017,1.6,124000,0
Tahoe,Taef,Chevrolet,Automatic,Saudi,Standard,2013,5.3,344,0
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Full,2018,3.5,55000,0
Land Cruiser,Al-Medina,Toyota,Manual,Other,Semi Full,1987,4.6,500000,0
The 7,Makkah,BMW,Automatic,Saudi,Full,2016,2.0,99000,0
Patrol,Jeddah,Nissan,Automatic,Saudi,Semi Full,2020,4.0,57000,0
Camry,Aseer,Toyota,Automatic,Saudi,Full,2006,4.0,263,0
Blazer,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2007,3.6,200000,0
Land Cruiser,Najran,Toyota,Automatic,Saudi,Full,2016,8.0,119000,0
Suburban,Taef,GMC,Automatic,Saudi,Full,1999,9.0,220000,0
X,Riyadh,BMW,Automatic,Gulf Arabic,Semi Full,2020,2.0,4500,0
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2017,2.7,193,0
Land Cruiser,Abha,Toyota,Automatic,Other,Full,2011,4.7,382,0
Prestige,Jeddah,Genesis,Automatic,Other,Semi Full,2009,3.8,170,0
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2018,3.6,280,0
Durango,Jeddah,Dodge,Automatic,Saudi,Standard,2012,5.7,275000,0
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2014,3.0,232000,0
ML,Arar,Mercedes,Automatic,Saudi,Full,1995,9.0,300000,0
S,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,41305,0
Pajero,Al-Ahsa,Mitsubishi,Automatic,Other,Semi Full,2015,3.5,153000,0
Marquis,Jeddah,Ford,Automatic,Other,Full,2003,4.6,417000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,300841,0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.1,158,0
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2019,1.5,38000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,305000,0
Sorento,Dammam,Kia,Automatic,Saudi,Semi Full,2014,1.6,240000,0
Datsun,Riyadh,Nissan,Automatic,Saudi,Standard,2009,1.8,440000,0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2002,5.7,270000,0
Sportage,Makkah,Kia,Automatic,Saudi,Full,2016,2.4,193000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,54000,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,145,0
EC8,Dammam,Geely,Manual,Saudi,Semi Full,2014,2.5,180000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2009,2.7,625538,0
Explorer,Qassim,Ford,Automatic,Other,Semi Full,2014,3.5,185000,0
Land Cruiser,Wadi Dawasir,Toyota,Automatic,Gulf Arabic,Full,2011,4.6,400,0
H1,Riyadh,Hyundai,Automatic,Gulf Arabic,Semi Full,2012,1.6,252,0
LX,Qassim,Lexus,Automatic,Saudi,Full,2015,5.7,123998,0
Envoy,Dammam,GMC,Automatic,Other,Full,2002,3.5,123456,0
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.5,143,0
Avalon,Qassim,Toyota,Automatic,Saudi,Semi Full,2007,3.5,500,0
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2009,9.0,440,0
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,13000,0
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,3.3,94000,0
Charger,Qassim,Dodge,Automatic,Other,Full,2018,5.7,59000,0
Accord,Hafar Al-Batin,Honda,Automatic,Saudi,Full,2016,2.8,240000,0
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,24000,0
Sonata,Dammam,Hyundai,Automatic,Saudi,Full,2013,2.5,286000,0
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2014,5.0,125000,0
LX,Riyadh,Lexus,Automatic,Other,Full,2020,5.7,68000,0
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.4,32000,0
S,Dammam,Mercedes,Automatic,Other,Semi Full,2007,4.0,195657,0
FJ,Qassim,Toyota,Automatic,Unknown,Full,2013,4.0,228000,0
Tahoe,Jubail,Chevrolet,Automatic,Saudi,Full,2008,5.3,515984,0
Suburban,Qassim,GMC,Automatic,Unknown,Semi Full,2000,5.3,205058,0
Focus,Dammam,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,107000,0
6,Dammam,Mazda,Automatic,Saudi,Standard,2018,2.5,130000,0
Land Cruiser 70,Aseer,Toyota,Manual,Gulf Arabic,Full,2016,4.5,127430,0
Optra,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2008,1.6,250000,0
Cressida,Al-Namas,Toyota,Manual,Gulf Arabic,Semi Full,1995,2.4,585000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2013,2.5,185000,0
Elantra,Taef,Hyundai,Automatic,Saudi,Standard,2016,2.0,230000,0
S,Makkah,Mercedes,Automatic,Gulf Arabic,Full,2014,4.7,102000,0
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,16000,0
L200,Al-Baha,Mitsubishi,Manual,Saudi,Semi Full,1992,2.0,219,0
Range Rover,Abha,Land Rover,Automatic,Other,Full,2006,4.0,335000,0
Datsun,Makkah,Nissan,Manual,Saudi,Full,2015,2.7,82000,0
Azera,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2013,1.6,300,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2016,5.3,122000,0
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Semi Full,2003,4.6,600,0
VTC,Dammam,Nissan,Automatic,Saudi,Full,2019,4.5,62000,0
Durango,Riyadh,Dodge,Automatic,Saudi,Semi Full,2013,5.7,340000,0
Grand Cherokee,Al-Medina,Jeep,Automatic,Saudi,Full,2013,8.0,170000,0
Camry,Riyadh,Toyota,Automatic,Other,Full,2015,4.0,130,0
Yukon,Taef,GMC,Automatic,Saudi,Full,2008,6.2,255,0
Yaris,Jazan,Toyota,Manual,Saudi,Standard,2015,1.3,152000,0
Yukon,Jeddah,GMC,Automatic,Saudi,Full,2006,5.3,257274,0
Innova,Dammam,Toyota,Automatic,Saudi,Full,2015,2.7,214000,0
Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.5,126700,0
Corolla,Riyadh,Toyota,Automatic,Saudi,Full,2020,1.6,60000,0
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2014,2.0,173000,0
S,Dammam,Mercedes,Automatic,Other,Full,2007,4.0,146000,0
VTC,Al-Ahsa,Nissan,Automatic,Saudi,Standard,2007,4.8,430550,0
Prado,Hafar Al-Batin,Toyota,Automatic,Saudi,Semi Full,2017,4.0,223000,0
Acadia,Jeddah,GMC,Automatic,Saudi,Semi Full,2014,3.6,226000,0
Furniture,Hafar Al-Batin,Toyota,Automatic,Saudi,Full,2018,2.7,120000,0
Victoria,Riyadh,Ford,Automatic,Other,Full,2011,5.0,300000,0
Tahoe,Jeddah,Chevrolet,Automatic,Other,Full,2016,4.0,208000,0
Expedition,Al-Jouf,Ford,Automatic,Other,Full,2006,5.4,341,0
The 7,Jeddah,BMW,Automatic,Saudi,Full,2003,2.0,300,0
Durango,Al-Medina,Dodge,Automatic,Saudi,Standard,2019,5.7,55000,0
Rav4,Riyadh,Toyota,Automatic,Other,Standard,2015,2.5,126,0
Hilux,Abha,Toyota,Manual,Saudi,Semi Full,2006,2.7,500,0
Ranger,Qassim,Ford,Automatic,Saudi,Semi Full,2019,3.2,5064,0
Rio,Khobar,Kia,Automatic,Saudi,Full,2015,1.4,117000,0
Yukon,Al-Medina,GMC,Automatic,Saudi,Standard,2015,4.0,124000,0
FJ,Riyadh,Toyota,Manual,Other,Standard,2011,4.0,287,0
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,260000,0
Corolla,Tabouk,Toyota,Automatic,Saudi,Semi Full,2013,1.6,217562,0
Cayenne S,Riyadh,Porsche,Automatic,Gulf Arabic,Full,2008,4.8,172000,0
Pajero,Al-Ahsa,Mitsubishi,Automatic,Saudi,Standard,2015,3.8,280000,0
Camry,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,2.5,135,0
Caprice,Yanbu,Chevrolet,Automatic,Saudi,Standard,2009,6.0,270000,0
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,4.6,280,0
Flex,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,3.5,190000,0
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,2.0,50500,0
G,Riyadh,INFINITI,Automatic,Saudi,Full,2007,6.0,200000,0
Yukon,Hail,GMC,Automatic,Saudi,Full,2010,6.2,556000,0
Tahoe,Jubail,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,237,0
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,91000,0
Land Cruiser Pickup,Qassim,Toyota,Manual,Gulf Arabic,Semi Full,2012,4.0,300,0
Yukon,Taef,GMC,Automatic,Saudi,Semi Full,2014,5.3,49000,0
Camry,Dammam,Toyota,Automatic,Saudi,Full,2015,2.5,297,0
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2007,5.3,368000,0
Other,Riyadh,Other,Automatic,Saudi,Full,2009,2.4,218000,0
Rush,Riyadh,Toyota,Automatic,Saudi,Full,2019,1.5,69000,0
Suburban,Taef,GMC,Automatic,Saudi,Standard,2001,1.5,718314,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,132800,0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,106000,0
Maxima,Jeddah,Nissan,Manual,Saudi,Standard,2002,3.0,265000,0
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Full,2008,5.3,500000,0
Ranger,Riyadh,Ford,Manual,Saudi,Semi Full,2016,2.5,121800,0
Suburban,Dammam,Chevrolet,Automatic,Saudi,Semi Full,1997,1.5,2149656,0
Echo,Riyadh,Toyota,Manual,Saudi,Standard,2004,1.6,400000,0
Land Cruiser,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2007,4.6,10000,0
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,3.6,217,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,82000,0
Koranado,Riyadh,SsangYong,Automatic,Gulf Arabic,Semi Full,2013,2.0,157,0
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2019,1.5,89300,0
Hiace,Al-Ahsa,Toyota,Manual,Saudi,Standard,2010,2.7,300,0
LX,Qassim,Lexus,Automatic,Saudi,Full,2021,5.7,457,0
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.4,52000,0
Camry,Jubail,Toyota,Automatic,Saudi,Full,2016,2.5,317250,0
Symbol,Riyadh,Renault,Automatic,Other,Standard,2017,1.6,48000,0
Yukon,Najran,GMC,Automatic,Saudi,Standard,2014,5.3,256000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,3.5,135,0
Grand Marquis,Qurayyat,Mercury,Automatic,Saudi,Semi Full,2005,4.6,360,0
Crown,Dammam,Toyota,Manual,Saudi,Standard,1990,2.8,187000,0
Wrangler,Makkah,Jeep,Automatic,Saudi,Full,2016,3.6,172000,0
Accent,Jubail,Hyundai,Automatic,Unknown,Standard,2018,1.4,143000,0
ِACTIS V80,Riyadh,FAW,Manual,Saudi,Standard,2016,2.0,92000,0
Explorer,Aseer,Ford,Automatic,Saudi,Standard,2010,6.0,389160,0
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Semi Full,2014,5.0,59934,0
Sentra,Al-Medina,Nissan,Automatic,Saudi,Semi Full,2020,1.6,96000,0
The 7,Qassim,BMW,Automatic,Saudi,Standard,2010,2.0,290,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2013,5.3,111500,0
Suburban,Taef,GMC,Automatic,Saudi,Semi Full,2006,4.2,129000,0
Yukon,Al-Medina,GMC,Automatic,Saudi,Standard,2014,5.3,270000,0
Land Cruiser,Jazan,Toyota,Automatic,Gulf Arabic,Full,2019,4.6,67000,0
LX,Dammam,Lexus,Automatic,Saudi,Semi Full,2010,5.7,301000,0
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,2019,3.5,70500,0
CLS,Riyadh,Mercedes,Automatic,Unknown,Full,2019,3.5,94000,0
Silverado,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,170000,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,21000,0
Edge,Qassim,Ford,Automatic,Saudi,Standard,2008,3.5,380,0
Hiace,Jeddah,Toyota,Manual,Saudi,Semi Full,2012,2.7,350,0
ES,Khobar,Lexus,Automatic,Saudi,Full,2021,2.5,4000,0
Pajero,Qassim,Mitsubishi,Manual,Saudi,Semi Full,2007,3.8,300,0
GS,Jazan,Lexus,Automatic,Gulf Arabic,Full,2008,4.3,216000,0
CS95,Hail,Changan,Automatic,Saudi,Full,2021,2.0,40000,0
ES,Aseer,Lexus,Automatic,Other,Full,2013,3.5,180,0
A6,Al-Medina,Audi,Automatic,Gulf Arabic,Full,2015,2.3,120000,0
Datsun,Riyadh,Nissan,Manual,Other,Standard,2014,2.4,247,0
H1,Dammam,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,160,0
Land Cruiser 70,Hail,Toyota,Manual,Saudi,Semi Full,2018,4.0,45497,0
Suburban,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,1999,8.0,400000,0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,78000,0
FJ,Dammam,Toyota,Manual,Saudi,Standard,2014,2.7,210000,0
3,Riyadh,Mazda,Automatic,Saudi,Standard,2016,1.6,217000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.6,250000,0
Sonata,Riyadh,Hyundai,Manual,Other,Standard,2006,2.4,250,0
The 7,Makkah,BMW,Automatic,Saudi,Full,2014,2.0,138100,0
Opirus,Dammam,Kia,Automatic,Saudi,Semi Full,2008,3.8,271540,0
Altima,Dammam,Nissan,Manual,Other,Full,1994,2.5,300000,0
Dokker,Riyadh,Renault,Manual,Saudi,Standard,2019,1.6,90000,0
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,42000,0
Camry,Al-Medina,Toyota,Manual,Saudi,Full,2017,2.4,87000,0
Yukon,Aseer,GMC,Automatic,Saudi,Semi Full,2008,5.3,450000,0
C,Riyadh,Mercedes,Automatic,Saudi,Full,2015,2.0,110000,0
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2010,6.0,600000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2004,2.7,237600,0
ML,Makkah,Mercedes,Automatic,Saudi,Full,2010,5.0,104000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2011,5.4,212000,0
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Standard,2020,3.5,7000,0
H3,Riyadh,Hummer,Automatic,Saudi,Full,2006,3.5,450000,0
A8,Riyadh,Audi,Automatic,Other,Full,2012,3.0,68000,0
Tahoe,Makkah,Chevrolet,Automatic,Other,Semi Full,2013,1.4,378000,0
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,186000,0
E,Makkah,Mercedes,Automatic,Saudi,Full,2017,3.0,30000,0
S,Jeddah,Mercedes,Automatic,Saudi,Full,2009,5.0,102000,0
F150,Al-Ahsa,Ford,Automatic,Other,Standard,2014,5.0,300000,0
Land Cruiser,Abha,Toyota,Manual,Gulf Arabic,Semi Full,2008,4.6,260,0
Accord,Riyadh,Honda,Automatic,Saudi,Full,2008,1.0,400000,0
Patrol,Riyadh,Nissan,Automatic,Unknown,Full,2008,4.0,44000,0
Land Cruiser,Jazan,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,2000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.5,199,0
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,10700,0
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,216000,0
Pajero,Riyadh,Mitsubishi,Manual,Other,Standard,2003,3.5,137000,0
Other,Taef,Ford,Manual,Saudi,Standard,2015,1.0,19047,0
Optima,Hail,Kia,Automatic,Other,Semi Full,2014,2.4,170,0
Symbol,Dammam,Renault,Automatic,Saudi,Standard,2020,1.6,37600,0
Optima,Jubail,Kia,Automatic,Saudi,Semi Full,2020,2.4,69000,0
Accent,Riyadh,Hyundai,Manual,Saudi,Standard,2012,1.6,279000,0
Beetle,Qassim,Volkswagen,Automatic,Gulf Arabic,Full,2015,2.0,113,0
Elantra,Aseer,Hyundai,Manual,Gulf Arabic,Standard,2014,1.6,46000,0
Hilux,Wadi Dawasir,Toyota,Manual,Saudi,Full,2012,2.7,219520,0
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2014,2.7,169000,0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2016,2.0,29000,0
A8,Dammam,Audi,Automatic,Saudi,Full,2016,6.3,62000,0
MKX,Riyadh,Lincoln,Automatic,Saudi,Full,2011,3.5,240000,0
D'max,Jeddah,Suzuki,Manual,Saudi,Standard,2013,1.1,339000,0
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Semi Full,2016,4.0,165684,0
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2003,2.5,600000,0
LX,Qassim,Lexus,Automatic,Saudi,Full,2018,5.7,100000,0
Hilux,Qassim,Toyota,Automatic,Gulf Arabic,Semi Full,2014,2.7,249000,0
Land Cruiser,Tabouk,Toyota,Automatic,Saudi,Full,2016,4.8,70000,0
Pathfinder,Riyadh,Nissan,Manual,Saudi,Standard,2002,3.3,470,0
Fusion,Dammam,Ford,Automatic,Gulf Arabic,Standard,2014,2.5,283000,0
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2007,5.3,315,0
CX9,Al-Medina,Mazda,Automatic,Saudi,Standard,2021,2.5,3800,0
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2017,3.2,122000,0
FJ,Riyadh,Toyota,Automatic,Saudi,Standard,2012,4.0,373000,0
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,2.5,78000,0
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,283100,0
Ranger,Riyadh,Ford,Manual,Other,Full,2015,1.5,7000,0
Land Cruiser,Aseer,Toyota,Manual,Saudi,Semi Full,2003,4.6,495000,0
Ram,Jeddah,Dodge,Automatic,Saudi,Full,2019,5.7,45000,0
Delta,Al-Ahsa,Daihatsu,Manual,Saudi,Standard,2013,3.7,100000,0
Sentra,Jeddah,Nissan,Automatic,Saudi,Standard,2020,1.6,25000,0
Echo,Jeddah,Toyota,Manual,Other,Standard,2004,1.5,488000,0
Elantra,Riyadh,Hyundai,Manual,Saudi,Standard,2001,1.6,372,0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,5.4,50000,0
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2020,3.5,31124,0
H1,Al-Jouf,Hyundai,Manual,Gulf Arabic,Full,2015,4.5,105000,0
Furniture,Khobar,Toyota,Automatic,Saudi,Full,2014,1.5,265560,0
Ciocca,Qurayyat,Toyota,Automatic,Saudi,Standard,2016,5.7,207382,0
Cadenza,Jeddah,Kia,Automatic,Saudi,Semi Full,2015,3.3,160000,0
C300,Riyadh,Chrysler,Automatic,Saudi,Semi Full,2015,5.7,74000,0
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.5,70000,0
E,Riyadh,Mercedes,Automatic,Other,Standard,2019,2.0,28000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2015,6.2,48000,0
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2018,3.6,61000,0
Sonata,Hail,Hyundai,Automatic,Other,Standard,2015,1.0,93647,0
ZS,Taef,MG,Automatic,Saudi,Standard,2020,1.5,9300,0
